id,produto,fornecedor,preco_compra,preco_venda,qtd,data,tempo
1,Meia,Havan,12.0,16.46,4.0,28/01/2022,16:30:40
2,Camiseta,Havan,6.0,11.33,20.0,20/01/2022,01:05:14
3,Fone,Apple,12.0,20.67,19.0,10/02/2022,22:35:13
4,Mouse,Samsung,13.0,25.59,16.0,02/01/2022,13:15:23
5,Meia,Renner,12.0,14.94,19.0,27/02/2022,09:09:30
6,Mouse,Havan,10.0,13.21,30.0,14/01/2022,08:21:35
7,Camiseta,Riachuelo,12.0,14.47,22.0,21/02/2022,00:09:41
8,Monitor,Apple,14.0,24.47,3.0,30/12/2021,15:27:35
9,Carregador,Renner,20.0,32.73,1.0,09/01/2022,02:44:40
11,Celular,Samsung,4.0,5.69,17.0,12/02/2022,22:17:00
12,Fone,Microsoft,13.0,24.87,4.0,24/12/2021,22:02:41
13,Meia,Apple,5.0,7.6,10.0,26/01/2022,11:13:17
0ca26,Carregador,Riachuelo,3.0,,5.0,08/03/2022,22:09:31
34f11,Monitor,Teste,3.0,,5.0,08/03/2022,22:13:11
